nome;genero
José Enrique Pedreira;Music of Puerto Rico
José Feliciano;{Bolero|Soft rock|Latin pop|Acoustic music}
José Fors;{Heavy metal music|Hard rock|Experimental music}
José Francisco Salgado;NULL
José Galisteo;{Pop music|Dance-pop}
José González (singer);Indie folk
José Hernández (musician);{World music|Mariachi}
José Hoebee;Pop music
José Ignacio Quintón;Music of Puerto Rico
José James;{Neo soul|Hip hop music|Jazz}
José José;{Bossa nova|Bolero|Latin pop|Latin ballad|Jazz}
José Larralde;Folk music
José Luis Appleyard;NULL
José Luis Bartolilla;{Traditional pop music|Latin pop|Latin music (genre)|Crooner}
José Luis Encinas;{World music|Instrumental|Jazz|New flamenco|Spanish guitar}
José Luis Paris;NULL
José Luis Perales;{Latin pop|Latin ballad|Jazz}
José Luis Rodríguez (singer);{Bolero|Latin pop|Ballad}
José Manuel Pérez-Muñoz;Film score
José María Cano;NULL
José María Napoleón;Latin pop
José María Velasco Maidana;NULL
José María Vitier;{Religious music|Film score|Classical music}
José Mercé;{Flamenco|Jazz}
José Miguel Class;NULL
José Neto (musician);NULL
José Padilla (DJ);{Ambient music|Chill-out music|Balearic beat|Easy listening}
José Pasillas;{Hard rock|Alternative rock|Jazz fusion|Latin rock|Funk rock}
José Razzano;Tango music
José Rey de la Torre;Classical music
José Rizo (disc jockey);NULL
José Roel Lungay;NULL
José Urfé;{Danzón|Contradanza|Criolla}
José de Rico;NULL
José do Patrocínio Oliveira;Samba
Jotamont;NULL
Jotin Bhattacharya;Indian classical music
Jouni Kaipainen;NULL
Jourdan Sebastian;Indie_(spoken_word)
Journalist (rapper);Hip hop music
Journalist 103;{Hip hop music|Rapping}
Jovan Jovanov;{Pop music|Rhythm and blues|Pop rock|Hip hop music|Dance music}
Jovan Šajnović;Classical music
Jovanotti;{House music|Pop music|World music|Alternative hip hop}
Jovi (musician);{African hip hop|Cameroon_hip_hop}
Jovino Santos Neto;{Jazz|Contemporary classical music}
Jovit Baldivino;{Rock music|Pinoy pop|Classical music}
Jowe Head;{Punk rock|Post-punk|Experimental music}
Jowie Schulner;{Ambient music|Synthpop|Dream pop|New-age music|Electronic music|Classical music}
Joy De Vivre;{Anarcho-punk|Experimental music}
Joy Denalane;{Folk music|Soul music|Contemporary R&B|Jazz}
Joy Dunlop;{Folk music|Gaelic music|Celtic music}
Joy Eden Harrison;NULL
Joy Enriquez;{Pop music|Contemporary Christian music|Contemporary R&B|Latin pop}
Joy Lippard;{Contemporary Christian music|Contemporary worship music|Soft rock}
Joy Lynn White;Country music
Joy Nilo;{Pop music|Orchestra|Choir}
Joy Orbison;{House music|Oldschool jungle|Dubstep|UK funky|UK garage}
Joy Sarkar;NULL
Joy Tobing;{Pop music|Gospel music}
Joy Whitlock;{Pop music|Rock music|Contemporary Christian music}
Joy Williams (singer);{Pop music|Contemporary Christian music|Folk rock}
Joya (singer);{Rhythm and blues|Soul music|Hip hop music}
Joyce Aubrey;NULL
Joyce Bryant;{Traditional pop music|Gospel music|Opera|Vocal jazz}
Joyce Chao;Mandopop
Joyce Cobb;{Blues|Folk music|Rhythm and blues|Traditional pop music|Gospel music|Jazz}
Joyce Cooling;Smooth jazz
Joyce Irby;{Pop music|Rhythm and blues|Soul music|Jazz-funk|Smooth soul}
Joyce Jonathan;{Folk music|French pop music}
Joyce Kennedy (singer);NULL
Joyce Mekeel;NULL
Joyce Moreno (musician);NULL
Joyce Omondi;Gospel music
Joyce Sims;NULL
Joyce Vincent Wilson;{Rhythm and blues|Soul music|Jazz}
Joyo Velarde;{Funk|Pop music|Soul music|Hip hop music}
Jozef Cleber;{Jazz|Classical music}
Jozef De Beenhouwer;NULL
Jozef Dumoulin;Jazz
Jozef Kapustka;Classical music
Jozef Lupták;{Hasidic Judaism|Classical music}
Jozef Ráž;Pop rock
Jozef van Wissem;{Minimal music|Classical music}
João Barone;NULL
João Bosco;{Samba|Bossa nova|Música popular brasileira}
João Gilberto;{Samba|Bossa nova|Latin jazz|Samba_jazz}
João Gordo;{Death metal|Punk rock|Hardcore punk|Thrash metal|Crossover thrash}
João Neto & Frederico;Música sertaneja
Joée;Dance music
Joël Prévost;Chanson
Joëlle Léandre;{Free improvisation|Contemporary classical music}
Joëlle Ursull;Zouk
Jože Privšek;{Pop music|Jazz|Film score|Classical music}
Json (rapper);Christian hip hop
Jstarh;{Alternative rock|British hip hop}
Ju-ken;{Pop music|Hard rock|Alternative rock|Pop punk|Pop rock}
Jua Cali;Genge
Juan 'Punchy' Gonzalez;NULL
Juan Aguirre;{Rock music|Folk rock|Pop rock|Rock en español}
Juan Alban;Alternative rock
Juan Alderete;{Heavy metal music|Speed metal|Progressive rock|Progressive metal|Hardcore punk|Hard rock|Experimental music}
Juan Antonio Arguelles Rius;{Pop music|Psychedelic trance|Techno|Electronic dance music}
Juan Antonio Simarro;Jazz
Juan Atkins;{Electro (music)|Techno}
Juan Calleros;NULL
Juan Campodónico;NULL
Juan Carlos Alvarado;NULL
Juan Carlos Baglietto;Rock music
Juan Carlos Bersague;{Choir|Religious music|Classical music}
Juan Carlos Calderón;{Pop music|Bolero|Jazz}
Juan Carlos Cáceres;{Tango music|Candombe|Jazz|Milonga (music)|Murga}
Juan Carlos Paz y Puente;{Pop music|Rock music|World music|Music of Latin America|Jazz}
Juan Cirerol;Folk music
Juan Croucier;{Heavy metal music|Hard rock|Glam metal}
Juan F. Acosta;Music of Puerto Rico
Juan Fernando Velasco;Music of Latin America
Juan Formell;Salsa music
Juan Francisco Ordóñez;{Bachata (music)|Son (music)|Jazz}
Juan Gabriel;{Mariachi|Ranchera|Latin pop|Mexican pop music}
Juan Garcia-Herreros;Electroacoustical_jazz
Juan Garcia (guitarist);{Heavy metal music|Thrash metal}
Juan García Esquivel;{Exotica|Lounge music|Space age pop|Easy listening}
Juan Gotti;{Southern hip hop|Latin hip hop}
Juan Gómez Chicuelo;Catalonia
Juan Habichuela;Flamenco
Juan Jacinto (musician);{Folk music|Argentines}
Juan Jose Chuquisengo;{World music|Classical music}
Juan José Mosalini;NULL
Juan José Palacios;Flamenco
Juan Karlos Labajo;NULL
Juan Luis Carrera;NULL
Juan Luis Guerra;{Salsa music|Merengue music|Bachata (music)|Latin pop}
Juan Magan;{House music|Merengue music|Electronic music}
Juan Manuel Abras;Classical music
Juan Manuel Cañizares;{Flamenco|Jazz|Classical music}
Juan Martín;Flamenco
Juan María Solare;{Tango music|Fluxus|Electroacoustic music|Classical music}
Juan Morel Campos;Music of Puerto Rico
Juan Pedro Lanzani;NULL
Juan Son;{Indie rock|Alternative rock|Noise pop}
Juan Tizol;Jazz
Juan Tyrone Garcia;NULL
Juan Valdivia;{Rock music|Hard rock}
Juan Vicente Torrealba;Music of Venezuela
Juan Vélez;Latin pop
Juan Zelada;{Blues|Folk music|Pop music|Soul music}
Juan d'Arienzo;{Tango music|Milonga (music)}
Juan d'Ors;{Instrumental|Cover version|Singer-songwriter}
Juan van Emmerloot;NULL
Juana Molina;{Ambient music|Folktronica|Indie pop|Neofolk|Progressive folk|Alternative dance|Psychedelic music|Experimental music}
Juanes;{Rock music|Music of Latin America|Thrash metal|Cumbia|Latin rock}
Juanita Coco;NULL
Juanita Reina;Copla (music)
Juanita Stein;Indie rock
Juanita du Plessis;Afrikaans
Juanma Suárez;Punk rock
Jubin Nautiyal;{Pop music|Filmi}
Jud Strunk;{Country music|Pop music}
Judd Woldin;NULL
Jude (singer);{Rock music|Acoustic music|Independent music}
Jude Abbott;{Folk music|Pop music|Anarcho-punk}
Jude Cole;{Pop music|Rock music}
Jude Cowan Montague;NULL
Jude Gold;Instrumental
Jude Johnstone;Folk music
Judee Sill;{Country rock|Folk rock|Roots rock|Baroque pop}
Judge Da Boss;Hip hop music
Judge Dread;{Reggae|Ska|Rocksteady|Comedy music}
Judge Jules;Trance music
Judge Smith;{Progressive rock|Alternative rock|Musical theatre|Opera|Avant-garde}
Judie Tzuke;{Folk rock|Soft rock|Pop rock|Adult contemporary music}
Judith Christie McAllister;{Gospel music|Traditional black gospel|Urban contemporary gospel}
Judith Clingan;Choir
Judith Durham;Jazz
Judith Dvorkin;NULL
Judith Hill;{Pop music|Rhythm and blues|Soul music|Neo soul}
Judith Holofernes;{Pop music|Rock music|Alternative rock}
Judith Lefeber;Pop music
Judith Nicosia;NULL
Judith Pronk;Eurodance
Judith Sephuma;NULL
Judith Shatin;NULL
Judy Blair;{Blues|Rhythm and blues|Jazz|Boogie}
Judy Boucher;{Reggae|Contemporary R&B|Reggae fusion|Lovers rock}
Judy Chamberlain;{Big band|Traditional pop music|Swing music|Vocal jazz}
Judy Cheeks;NULL
Judy Clay;{Soul music|Gospel music}
Judy Collins;{Country music|Folk music|Rock and roll}
Judy Craig;NULL
Judy Dyble;NULL
Judy Henske;NULL
Judy Jacobs;{Contemporary Christian music|Gospel music|Traditional black gospel|Urban contemporary gospel}
Judy Johnson (singer);NULL
Judy Kang;Classical music
Judy Kuhn;Broadway theatre
Judy Lynn;NULL
Judy Martin (singer);Country music
Judy Mowatt;{Reggae|Gospel music|Roots reggae}
Judy Ongg;J-pop
Judy Roderick;{Blues|Country music|Folk music}
Judy Rodman;Country music
Judy Street;Soul music
Jue Wang;NULL
Juelz Santana;Hip hop music
Juggy D;{Bhangra (music)|Pop music|Music of Punjab}
Juha Kylmänen;Gothic metal
Juha Metsäperä;Pop music
Juha Tapio;{Pop music|Rock music|Gospel music|Schlager music}
Juha Vainio;NULL
Juhani Lagerspetz;NULL
Jui Juis;{Comedy rock|Acoustic music}
Juice (Serbian rapper);{Gangsta rap|House music|Turbo-folk|Dubstep|Hip hop music|Trap music|Dance music}
Juice Aleem;{Electronica|Dub music|Hip hop music}
Juice Leskinen;Tampere
Juice Newton;{Country music|Pop music|Rock music}
Juicy J;Hip hop music
Juicy M;{Electro house|Electronic dance music}
Juju (singer);{Rhythm and blues|J-pop|Jazz}
Jukka Haavisto;NULL
Jukka Koskinen;Melodic death metal
Jukka Nevalainen;{Power metal|Symphonic metal}
Jukka Poika;Reggae
Jukka Tolonen;{Progressive rock|Jazz}
Jul (rapper);Hip hop music
Jule Styne;NULL
Julee Cruise;Dream pop
Jules Barbier;NULL
Jules Buckley;{Folk music|Pop music|Jazz}
Jules Eskin;NULL
Jules Granier;NULL
Jules Hodgson;{Industrial rock|Electronic body music|Industrial metal}
Jules Larson;Independent music
Jules Maxwell;NULL
Jules Mazellier;NULL
Jules Mouquet;NULL
Julia Boutros;NULL
Julia Cafritz;{Punk rock|Noise music|Alternative rock}
Julia DeMato;NULL
Julia Deans;{Pop music|Rock music|Electronica}
Julia Easterlin;NULL
Julia Ettie Crane;NULL
Julia Feldman;Jazz
Julia Fischer;Classical music
Julia Fordham;{Pop music|Jazz}
Julia Holter;{Ambient music|Baroque pop|Art pop|Electronic music|Experimental music}
Julia Johnson;{Jazz|Acoustic music}
Julia Kedhammar;{Pop music|Synthpop|Dance-pop}
Julia Kent;NULL
Julia Lee (musician);{Blues|Dirty blues}
Julia Marcell;{Synthpop|Anti-folk|Indie pop|Baroque pop|Experimental music|Acoustic music}
Julia Messenger;{Electronica|Chill-out music|Jazz}
Julia Michaels;{Pop music|Electronic dance music}
Julia Neigel;{Pop music|Rock music|Composer}
Julia Nunes;{Pop music|Indie pop}
Julia Stone;{Blues|Folk music|Acoustic music}
Julia Volkova;{Pop music|Rock music|Electropop|Electro (music)}
Julia Woolf;NULL
Julia van Bergen;Dance-pop
Julian Argüelles;Jazz
Julian Austin (musician);Country music
Julian Berntzen;Pop music
Julian Bliss;Chamber music
Julian Bream;Classical music
Julian Calor;{Electronica|Progressive house|Hip hop music|Electro house}
Julian Casablancas;{Indie rock|Alternative rock}
Julian Cope;{New wave music|Indie rock|Alternative rock|Neo-psychedelia|Post-punk}
Julian Dawes;NULL
Julian Dorio;NULL
Julian Emery;{Pop music|Rock music}
Julian Fauth;{Blues|Pop rock}
Julian Fenton;Alternative rock
Julian Gaskell;{Blues|Folk music|Punk rock|Skiffle|Alternative rock|Surf music|Klezmer|Jazz|Independent music}
Julian Hamilton;Electro (music)
Julian Jordan (DJ);{Progressive house|Electro house}
Julian Joseph;NULL
Julian Klemczyński;NULL
Julian Knowles;{Ambient music|Electronic music|Independent music|Postdigital}
Julian Koster;{Psychedelic folk|Lo-fi music|Indie folk}
Julian Lage;Jazz
Julian LeBlanc;NULL
Julian Lennon;Rock music
Julian Lloyd Webber;NULL
Julian Mandrake;Rock and roll
Julian Marley;Roots reggae
Julian Neville;{Psychedelic rock|Rock and roll|Indie rock|Garage rock}
Julian Perretta;NULL
Julian Piotrowiak;NULL
Julian Priester;{Jazz fusion|Jazz}
Julian Rachlin;Classical music
Julian Scherle;Film score
Julian Scott (composer);{Advertising|Television|Film score|Ceremony}
Julian Sitkovetsky;Classical music
Julian Smith (saxophonist);{Blues|Funk|Pop music|Soul music|Jazz|Classical music}
Julian Taylor (singer);Rock music
Julian Velard;Singer-songwriter
Julian Wass;{Indie rock|Hip hop music|Film score|Experimental music}
Julian Waterfall Pollack;{Pop music|Jazz|Classical music}
Julian Woodrow;NULL
Juliana Areias;Bossa nova
Juliana Hatfield;{Indie rock|Alternative rock|Indie pop}
Juliana Jendo;{Pop music|World music|Folk rock|Folk dance|Dance music|Assyrian pop music}
Juliana Pasha;NULL
Juliane Reichardt;NULL
Julianna Barwick;{Ambient music|New-age music}
Julianna Raye;NULL
Julianne Baird;{Opera|Baroque music}
Julianne Regan;Gothic rock
Juliano Son;{Pop music|Rock music|Contemporary Christian music|Contemporary worship music|Pop rock}
Julie-Anne Derome;Classical music
Julie Anne San Jose;{Pop music|Contemporary R&B|Music of the Philippines}
Julie Anthony (singer);Jazz
Julie Berthelsen;Pop music
Julie Budd;Broadway theatre
Julie Christensen;{Folk music|Rock music|Alternative country|Jazz}
Julie Christmas;{Noise rock|Sludge metal|Post-hardcore|Post-metal}
Julie Covington;NULL
Julie Crochetière;{Pop music|Blue-eyed soul}
Julie Dahle Aagård;Jazz
Julie Doiron;{Indie rock|Folk rock}
Julie Driscoll;{Pop music|Rhythm and blues|Soul music|Folk rock|Jazz fusion|Psychedelic pop|Jazz}
Julie Dubela;Pop music
Julie Elias;{Christian alternative rock|Christian rock|Indie rock|Contemporary Christian music|Contemporary worship music|Indie pop}
Julie Fader;{Folk music|Pop music}
Julie Feeney;{Pop music|Classical music|Independent music}
Julie Felix;{Folk music|Folk rock}
Julie Fowlis;{Folk music|Celtic music}
Julie Frost;{Pop music|Pop rock|Contemporary R&B}
Julie Gold;NULL
Julie Grant;NULL
Julie Harrington;{Trance music|Chill-out music|Independent music}
Julie Landsman;NULL
Julie Masse;Pop music
Julie Matthews;{Country music|Folk music|Americana (music)}
Julie Mayaya;NULL
Julie Miller;{Country music|Contemporary Christian music|Alternative country}
Julie Mintz;{Alternative country|Indie folk}
Julie Pietri;Jazz
Julie Reeves;Country music
Julie Roberts;Country music
Julie Rogers;{Traditional pop music|Easy listening}
Julie Silver;Singer-songwriter
Julie Sokolow;{Indie rock|Singer-songwriter}
Julie Vega;NULL
Julie Zenatti;French pop music
Julien Aklei;{Rock music|Country rock|Folk rock|Psychedelic folk}
Julien Baker;NULL
Julien Civange;NULL
Julien Clerc;Chanson
Julien Doré;{Folk music|Pop music|Alternative rock}
Julien Laubscher;{Disco|House music|Pop music|Electropop|Pop rock|Dance music}
Julien Lourau;{Avant-garde jazz|Electronic music|Mainstream jazz}
Julienne Irwin;{Country music|Pop music}
Julienne Taylor;{Folk music|Pop music|Singing|Easy listening|Celtic music}
Juliet Simms;{Rock music|Alternative rock|Acoustic music}
Juliet Wyers;Folk rock
Julieta Sciancalepore;NULL
Julieta Venegas;{Alternative rock|Folk rock|Indie pop|Pop rock}
Juliette Gréco;Chanson
Juliette Schoppmann;Pop music
Julije Bajamonti;Opera
Julio D;{Pop music|World music|Contemporary R&B}
Julio G;Hip hop music
Julio Gutiérrez (musician);{Mambo (music)|Big band|Descarga|Cha-cha-chá (music)}
Julio Iglesias;{Dance-pop|Latin pop|Latin music (genre)|Adult contemporary music}
Julio Iglesias Jr.;Pop music
Julio Jaramillo;{Bolero|Ranchera|Tango music|Corrido|Waltz|Pasillo}
Julio Jorge Nelson;Tango music
Julio Numhauser;{Folk music|Nueva canción|Music of Chile}
Julio Reyes;{Pop music|Rhythm and blues|Soul music|Ranchera|Latin music (genre)|Jazz}
Julio Sosa;{Folk music|Traditional pop music|Tango music|Milonga (music)}
Julio Voltio;Reggaeton
Julissa (singer);{Contemporary Christian music|Contemporary worship music}
Julita Ross;Music of Puerto Rico
Julito Rodríguez;Bolero
Julius Baker;Orchestra
Julius Butty;NULL
Julius Cheeks;Gospel music
Julius Daniels;{Country music|Piedmont blues}
Julius Dobos;{Ambient music|Electronic music|Instrumental|Orchestra|Film score|Psybient_music}
NULL;NULL
Julius Ernst Rautenstein;NULL
Julius Klengel;Classical music
Julius La Rosa;Traditional pop music
Julius Lamperez;{Country music|Cajun music}
Julius Lind;{Rock music|Jazz}
Julius Schulhoff;NULL
Julius Weismann;NULL
Juliusz Zarębski;NULL
Julián Bonequi;NULL
Julián Elfenbein;NULL
Julión Álvarez;{Norteño (music)|Banda (music)}
Jullie;{Pop music|Dance-pop|Pop rock}
Jully Black;{Pop music|Reggae|Soul music|Contemporary R&B}
Julma-Henri;{Progressive rock|Hardcore hip hop|Horrorcore|Grime music|Dubstep|Hip hop music}
Julyo;NULL
Juma Nature;Hip hop music
Jumpin' Gene Simmons;{Pop music|Rock and roll|Rockabilly}
Jumz;NULL
Jun. K;NULL
Jun (musician);{Alternative rock|Pop rock}
Jun Chikuma;{Chiptune|Arabic music|Video game music}
Jun Jin;{J-pop|K-pop|Dance music}
Jun Miyake;Hybrid
Jun Sasaki;{Pop music|Soul music|Folk rock|Dance music}
Jun Senoue;{Hard rock|Pop rock|Electronic rock|Video game music}
Jun Shibata;J-pop
Jun Toba;NULL
Jun Togawa;{J-pop|Avant-garde music}
Junaid Jamshed;{Hamd|Naat}
Junaid Khan (singer);NULL
June (singer);NULL
June Carter Cash;{Country music|Folk music|Gospel music}
June Christy;{Pop music|Cool jazz|Jazz}
June Miles-Kingston;{New wave music|Punk rock|Ska}
June Millington;{Pop music|Rock music|Blues rock}
June Panic;Indie rock
June Pointer;{Country music|Pop music|Rock music|Rhythm and blues|Soul music|Jazz|Dance music}
June Richmond;Jazz
June Rochelle;NULL
June Tabor;English people
June Tyson;NULL
June Valli;NULL
June Yamagishi;{Blues|Rhythm and blues|Jazz}
Jung-Ho Pak;NULL
Jung-in;K-pop
Jung Dae-hyun;{Contemporary R&B|Hip hop music|K-pop}
Jung Hana;K-pop
Jung Il-hoon;K-pop
Jung Jae-hyung;{Ballad|Jazz}
Jung Joon-young;{Rock music|Hard rock|Garage rock|Alternative rock|Soft rock|Post-punk revival}
Jung Seung-hwan (singer);{Contemporary R&B|K-pop}
Jung Yuri;{Contemporary R&B|K-pop|Dance music}
Junichi Inagaki;J-pop
Junichi Masuda;NULL
Junichi Nakatsuru;NULL
Junichi Okada;Pop music
Juniel;{J-pop|Pop rock|K-pop}
Junior Barnard;NULL
Junior Brown;{Outlaw country|Neotraditional country|Texas country music|Americana (music)}
Junior Byles;{Reggae|Ska|Rocksteady}
Junior Caldera;{House music|Rock music|Electronica|Electro house|Electronic music|Electronic dance music}
Junior Campbell;{Blue-eyed soul|Film score}
Junior Cook;{Hard bop|Jazz}
Junior Delgado;Reggae
Junior English;Reggae
Junior Jack;{House music|Nu-disco}
Junior Kelly;Reggae
Junior Kimbrough;{Country blues|Hill country blues|Juke joint blues}
Junior Mance;Hard bop
Junior Marvin;{Rock music|Reggae|Rhythm and blues}
Junior Murvin;Reggae
Junior Parker;{Blues|Rock and roll|Gospel music|Memphis blues|Rockabilly|Electric blues}
Junior Reid;{Reggae|Dancehall|Reggae fusion}
Junior Samples;Country music
Junior Sanchez;{House music|Electro (music)|Electronic music}
Junior Tucker;{Reggae|Gospel music|Dancehall}
Junior Vasquez;House music
Junior Walker;{Disco|Rhythm and blues}
Junior Wells;Chicago blues
Junji Arias;{Pop music|Rock music|Alternative rock|Music of the Philippines}
Junji Ishiwatari;NULL
Junkie XL;{Electronica|Big beat}
Junko Akimoto;{Kayōkyoku|Jazz|Chanson|Min'yō|Canzone}
Junko Onishi (musician);Jazz
Junnosuke Kawaguchi;Punk rock
Junnosuke Taguchi;J-pop
Juno (rapper);{Reggae|Hip hop music|Rapping}
Juno (singer);{J-pop|Mandopop}
Juno Roxas;NULL
Junpei Fujita;{Electronica|Music of Japan}
Junpei Shiina;{Rhythm and blues|Soul music}
Junya Nakano;{Ambient music|Video game music}
Junya Yamaguchi;NULL
Jupitar;{Reggae|Dancehall}
Jurabek Murodov;Shashmaqam
Jurek Dybal;Classical music
Jurga Šeduikytė;{Pop music|Art rock}
Juri Takahashi;J-pop
Jurian Beat Crisis;Pop music
Jurica Pađen;{Rock music|Pop rock|New Wave music in Yugoslavia}
Jurina Matsui;J-pop
Juris Fernandez;{Pop music|Music of the Philippines|Acoustic music}
JurusDiction;{Hip hop music|Electro house}
Jus Allah;{Hardcore punk|Hip hop music}
Jus Oborn;{Doom metal|Stoner rock}
Jussi 69;{Gothic rock|Glam metal}
Jussi Chydenius;{Pop music|A cappella}
Jussi Lehtisalo;{Heavy metal music|Krautrock|Experimental rock}
Just-Ice;{Gangsta rap|East Coast hip hop|Hardcore hip hop|Hip hop music|Golden age hip hop}
Just Blaze;Hip hop music
Just Jack;{Indie pop|Hip hop music|UK garage}
Justice (singer);{Pop music|Soul music|Dance music}
Justin (singer);{Folk music|Pop music|Soul music|Pop rock|Acoustic music}
Justin Adams;World music
Justin Beck;Alternative rock
Justin Bennett;{Electronica|Industrial rock|Electro-industrial}
Justin Boller;NULL
Justin Broadrick;{Grindcore|Ambient music|Noise music|Electronica|Shoegazing|Industrial metal|Drone metal|Post-metal|Experimental music}
Justin Burnett;NULL
Justin Chancellor;{Progressive rock|Progressive metal|Alternative metal}
Justin Chart;NULL
Justin Connolly;NULL
Justin Curfman;{Gothic rock|Alternative rock|Post-punk}
Justin Currie;{Alternative rock|Folk rock|Power pop|Pop rock}
Justin Davidson;NULL
Justin Duerr;{Punk rock|Indie rock}
Justin Edwards (musician);{Jazz|Classical music}
Justin Emerle;{Indie rock|Shoegazing|Low fidelity}
Justin Fisher (musician);Alternative rock
Justin Foley;{Thrash metal|Metalcore}
Justin Furstenfeld;Hard rock
Justin Goldberg;{Pop music|Alternative rock}
Justin Grennan;Soul music
Justin Guarini;{Funk|Pop music|Rhythm and blues|Soul music|Jazz}
Justin Hawkins;{Heavy metal music|Glam rock|Hard rock|Glam metal}
Justin Hayford;{Cabaret|Vocal jazz}
Justin Hayward;{Rock music|Progressive rock}
Justin Hayward-Young;{Folk music|Rock and roll|Indie rock}
Justin Hinds;{Reggae|Ska|Rocksteady}
Justin Hines;{Folk music|Pop rock|Acoustic music}
Justin Holland;NULL
Justin James (musician);{Folk rock|Pop rock}
Justin Jarvis;{Christian alternative rock|Christian rock|Contemporary Christian music|Contemporary worship music}
Justin Jeffre;{Pop music|Contemporary R&B}
Justin Jones (guitarist);NULL
Justin Jones (singer-songwriter);{Folk music|Rock music|Alternative country}
Justin Kauflin;Jazz
Justin Kleiner;{Ambient music|Electronica|Alternative dance}
Justin Lanning (musician);Pop rock
Justin Lassen;{Intelligent dance music|Hard rock|Electronic music|Romantic music}
Justin Levinson;NULL
Justin Mauriello;{Punk rock|Indie rock|Alternative rock|Pop punk|Electronic rock}
Justin McRoberts;{Contemporary Christian music|Singer-songwriter}
Justin Meldal-Johnsen;{Industrial rock|Alternative rock}
Justin Moore;Country music
Justin Mortelliti;NULL
Justin Moyer;{Soul music|Indie rock|Post-hardcore|Funk rock|Post-punk}
Justin Nozuka;{Folk music|Soul music|Acoustic music}
Justin Parker;NULL
Justin Paul;NULL
Justin Pearson;{Grindcore|Hardcore punk|Math rock|Noise rock|Mathcore|Powerviolence}
Justin Pierre;{Indie rock|Pop punk}
Justin Pinkerton;{Folk music|Funk|Psychedelic rock|Pop music|Downtempo|Music of Africa|Avant-garde music}
Justin Prabhakaran;Film score
Justin Prime;{Tech house|Progressive house|Electro house|Electronic dance music}
Justin R. Durban;{Film score|Film}
Justin Raisen;NULL
Justin Rice;Indie folk
Justin Roberts (musician);{Alternative rock|Pop punk|Children's music}
Justin Robertson;{House music|Trip hop|Breakbeat|Electronica|Dancehall|Big beat}
Justin Rutledge;Alternative country
Justin Sandercoe;NULL
Justin Sane;{Punk rock|Hardcore punk|Anarcho-punk|Skate punk}
Justin Stanley;NULL
Justin Street;Hard rock
Justin Sullivan;Rock music
Justin Townes Earle;{Blues|Country music|Folk music|Soul music|Rockabilly|Americana (music)}
Justin Tranchita;Country music
Justin Tranter;{Pop music|Glam rock}
Justin Trosper;{Noise rock|Post-hardcore|Experimental music}
Justin Tubb;Country music
Justin Utley;{Folk music|Rock music|Alternative country|Acoustic music}
Justin Vali;Vakondrazana
Justin Van Der Volgen;NULL
Justin Vernon;{Folk music|Indie rock|Baroque pop}
Justin Vivian Bond;{Alternative rock|Cabaret}
Justin Warfield;{Alternative rock|Dark wave|Hip hop music}
Justin Welch;{Britpop|Alternative rock}
Justine Frischmann;{Britpop|Alternative rock}
Justine Ok;NULL
Justine Suissa;Trance music
Justino Díaz;Music of Puerto Rico
Justs Sirmais;{Pop music|Rock music|Soul music|Electronic music}
Jutta Hipp;Jazz
Juvelen;{Pop music|Electronic music|Dance music}
Juvenile (rapper);Hip hop music
Juventa;{Trance music|Progressive house}
Jwaydan Moyine;Electronic dance music
Jyongri;{Pop music|Rhythm and blues}
Jyotsna Radhakrishnan;Playback singer
Jyrki 69;{Rock and roll|Glam rock|Hard rock|Gothic rock|Glam metal}
Ján Lehotský;Pop rock
János Négyesy;Classical music
Jérémie Kisling;NULL
Jérémy Gabriel;NULL
Jérôme Badini;Nu jazz
Jóannes Lamhauge;NULL
Jóhann Jóhannsson;NULL
Jóhanna Guðrún Jónsdóttir;{Pop music|Soft rock|Acoustic music}
Jón Jónsson;Pop music
Jón Jósep Snæbjörnsson;Pop rock
Jónsi;{World music|Art rock|Ambient music|Post-rock|Baroque pop}
Józef Śliwiński;NULL
József Ács (musician);NULL
Jörg Michael;{Heavy metal music|Speed metal|Progressive metal|Power metal}
Jörgen Sandström;NULL
Jörgen van Rijen;Classical music
Jörn-Uwe Fahrenkrog-Petersen;{Pop music|Rock music|Neue Deutsche Welle}
Jøden (rapper);Hip hop music
Jørgen Ingmann;NULL
Jørgen Mathisen;Jazz
Jørgen Munkeby;{Progressive metal|Electronica|Jazz}
Jørgen Træen;Electronica
Jørn Christensen;Rock music
Jørn Inge Tunsberg;{Black metal|Death metal}
Jørn Lande;{Heavy metal music|Progressive rock|Progressive metal|Hard rock|Power metal|Blues rock|Symphonic metal}
Jørn Øien;Jazz
Júlia Gomes;NULL
Jürgen Drews;Schlager music
Jürgen Marcus;{Pop music|Schlager music}
Jürgen Reil;Thrash metal
Jürgen Rosenthal;{Progressive rock|Hard rock|Space rock}
NULL;NULL
Jānis Andžāns;{Art rock|Hard rock|Alternative rock|Experimental rock}
Jędker;Hip hop music
K'Jon;{Pop music|Contemporary R&B}
K'Lee;Pop music
K'naan;{World music|Alternative rock|Alternative hip hop}
K-Ci (singer);{Pop music|Contemporary Christian music|Gospel music|Contemporary R&B|Traditional black gospel|Urban contemporary gospel}
K-Dee;{Gangsta rap|West Coast hip hop}
K-Drama (rapper);{Christian hip hop|Urban contemporary gospel}
K-Man;Hip hop music
K-Mil;{Reggaeton|Hip hop}
K-Rab;Hip hop music
K-Rob;Hip hop music
K-Slick;Hip hop music
K-Solo;{East Coast hip hop|Hip hop music}
K-os;Alternative hip hop
K-rupt;Kenyan hip hop
